"ciudad","peso_abadie","peso_regresion"
"Ciudad 1",0.01,0.0111522918475905
"Ciudad 2",0,0.0279055493288987
"Ciudad 3",0.007,-0.00884169305868807
"Ciudad 4",0.002,0.29885204791175
"Ciudad 5",0.242,0.321901636191881
"Ciudad 6",0.239,0.381769303983328
"Ciudad 7",0.005,-0.00818522067146573
"Ciudad 9",0.008,0.00473616687582813
"Ciudad 10",0.006,0.00449731425871942
"Ciudad 11",0.002,-0.0255119955169861
"Ciudad 12",0.122,0.0303537699307757
"Ciudad 13",0.001,-0.00106116122943968
"Ciudad 14",0.051,-0.0130541163620447
"Ciudad 15",0.305,-0.0245138934901468
